date,time,app
2022-07-11,09:03:45,Cursory_App_V1
2022-07-11,09:03:46,Cursory_App_V1
2022-07-11,09:03:47,Cursory_App_V1
2022-07-11,09:03:48,Search
2022-07-11,09:03:49,Search
2022-07-11,09:03:50,Search
2022-07-11,09:03:51,Search
2022-07-11,09:03:52,Search
2022-07-11,09:03:53,Search
2022-07-11,09:03:54,Search
2022-07-11,09:03:55,Search
2022-07-11,09:03:56,Search
2022-07-11,09:03:57,Task Manager
2022-07-11,09:03:58,Task Manager
2022-07-11,09:03:59,Task Manager
2022-07-11,09:04:00,Task Manager
2022-07-11,09:04:01,Task Manager
2022-07-11,09:04:02,Task Manager
2022-07-11,09:04:03,Task Manager
2022-07-11,09:04:04,Task Manager
2022-07-11,09:04:05,Task Manager
2022-07-11,09:04:06,Task Manager
2022-07-11,09:04:07,Task Manager
2022-07-11,09:04:08,Task Manager
2022-07-11,09:04:09,Task Manager
2022-07-11,09:04:10,Task Manager
2022-07-11,09:04:11,Task Manager
2022-07-11,09:04:12,Task Manager
2022-07-11,09:04:13,Task Manager
2022-07-11,09:04:14,Task Manager
2022-07-11,09:04:15,Task Manager
2022-07-11,09:04:16,Task Manager
2022-07-11,09:04:17,Task Manager
2022-07-11,09:04:18,Task Manager
2022-07-11,09:04:19,Task Manager
2022-07-11,09:04:20,Task Manager
2022-07-11,09:04:21,Task Manager
2022-07-11,09:04:22,Task Manager
2022-07-11,09:04:23,Task Manager
2022-07-11,09:04:24,Task Manager
2022-07-11,09:04:25,Task Manager
2022-07-11,09:04:26,Task Manager
2022-07-11,09:04:28,Task Manager
2022-07-11,09:04:29,Task Manager
2022-07-11,09:04:30,Task Manager
2022-07-11,09:04:31,Task Manager
2022-07-11,09:04:32,Task Manager
2022-07-11,09:04:33,Task Manager
2022-07-11,09:04:34,Task Manager
2022-07-11,09:04:35,Task Manager
2022-07-11,09:04:36,Task Manager
2022-07-11,09:04:37,Task Manager
2022-07-11,09:04:38,Task Manager
2022-07-11,09:04:39,Task Manager
2022-07-11,09:04:40,Task Manager
2022-07-11,09:04:41,Task Manager
2022-07-11,09:04:42,Task Manager
2022-07-11,09:04:43,Task Manager
2022-07-11,09:04:44,Task Manager
2022-07-11,09:04:45,Task Manager
2022-07-11,09:04:46,Task Manager
2022-07-11,09:04:47,Task Manager
2022-07-11,09:04:48,Task Manager
2022-07-11,09:04:49,Task Manager
2022-07-11,09:04:50,Task Manager
2022-07-11,09:04:51,Task Manager
2022-07-11,09:04:52,Task Manager
2022-07-11,09:04:53,Task Manager
2022-07-11,09:04:54,Task Manager
2022-07-11,09:04:55,Task Manager
2022-07-11,09:04:56,Task Manager
2022-07-11,09:04:57,Task Manager
2022-07-11,09:04:58,Task Manager
2022-07-11,09:04:59,Task Manager
2022-07-11,09:05:00,Task Manager
2022-07-11,09:05:01,Task Manager
2022-07-11,09:05:02,Task Manager
2022-07-11,09:05:03,Task Manager
2022-07-11,09:05:04,Task Manager
2022-07-11,09:05:05,Task Manager
2022-07-11,09:05:06,Task Manager
2022-07-11,09:05:07,Task Manager
2022-07-11,09:05:08,Task Manager
2022-07-11,09:05:09,Task Manager
2022-07-11,09:05:10,Task Manager
2022-07-11,09:05:11,Task Manager
2022-07-11,09:05:12,Task Manager
2022-07-11,09:05:13,Task Manager
2022-07-11,09:05:14,Task Manager
2022-07-11,09:05:15,Task Manager
2022-07-11,09:05:16,Task Manager
2022-07-11,09:05:17,Task Manager
2022-07-11,09:05:18,Task Manager
2022-07-11,09:05:19,Task Manager
2022-07-11,09:05:20,Task Manager
2022-07-11,09:05:21,Task Manager
2022-07-11,09:05:22,Task Manager
2022-07-11,09:05:23,Task Manager
2022-07-11,09:05:24,Task Manager
2022-07-11,09:05:25,Task Manager
2022-07-11,09:05:26,Task Manager
2022-07-11,09:05:27,Task Manager
2022-07-11,09:05:28,Task Manager
2022-07-11,09:05:29,Task Manager
2022-07-11,09:05:30,Task Manager
2022-07-11,09:05:31,Task Manager
2022-07-11,09:05:32,Task Manager
2022-07-11,09:05:33,Task Manager
2022-07-11,09:05:34,Task Manager
2022-07-11,09:05:35,Task Manager
2022-07-11,09:05:36,Task Manager
2022-07-11,09:05:37,Task Manager
2022-07-11,09:05:38,Task Manager
2022-07-11,09:05:39,Task Manager
2022-07-11,09:05:40,Task Manager
2022-07-11,09:05:41,Task Manager
2022-07-11,09:05:42,Task Manager
2022-07-11,09:05:43,Program Manager
2022-07-11,09:05:44,Program Manager
2022-07-11,09:05:45,C1 - WordPad
2022-07-11,09:05:46,C1 - WordPad
2022-07-11,09:05:47,C1 - WordPad
2022-07-11,09:05:48,C1 - WordPad
2022-07-11,09:05:49,C1 - WordPad
2022-07-11,09:05:50,C1 - WordPad
2022-07-11,09:05:51,C1 - WordPad
2022-07-11,09:05:52,C1 - WordPad
2022-07-11,09:05:53,C1 - WordPad
2022-07-11,09:05:54,C1 - WordPad
2022-07-11,09:05:55,C1 - WordPad
2022-07-11,09:05:56,C1 - WordPad
2022-07-11,09:05:57,C1 - WordPad
2022-07-11,09:05:58,C1 - WordPad
2022-07-11,09:05:59,C1 - WordPad
2022-07-11,09:06:00,C1 - WordPad
2022-07-11,09:06:01,C1 - WordPad
2022-07-11,09:06:02,C1 - WordPad
2022-07-11,09:06:03,C1 - WordPad
2022-07-11,09:06:04,C1 - WordPad
2022-07-11,09:06:05,C1 - WordPad
2022-07-11,09:06:06,C1 - WordPad
2022-07-11,09:06:07,C1 - WordPad
2022-07-11,09:06:08,C1 - WordPad
2022-07-11,09:06:09,C1 - WordPad
2022-07-11,09:06:10,C1 - WordPad
2022-07-11,09:06:11,C1 - WordPad
2022-07-11,09:06:12,C1 - WordPad
2022-07-11,09:06:13,C1 - WordPad
2022-07-11,09:06:14,C1 - WordPad
2022-07-11,09:06:15,C1 - WordPad
2022-07-11,09:06:16,C1 - WordPad
2022-07-11,09:06:17,C1 - WordPad
2022-07-11,09:06:18,C1 - WordPad
2022-07-11,09:06:19,C1 - WordPad
2022-07-11,09:06:20,C1 - WordPad
2022-07-11,09:06:21,C1 - WordPad
2022-07-11,09:06:22,C1 - WordPad
2022-07-11,09:06:23,C1 - WordPad
2022-07-11,09:06:24,C1 - WordPad
2022-07-11,09:06:25,C1 - WordPad
2022-07-11,09:06:26,C1 - WordPad
2022-07-11,09:06:27,C1 - WordPad
2022-07-11,09:06:28,C1 - WordPad
2022-07-11,09:06:29,C1 - WordPad
2022-07-11,09:06:30,C1 - WordPad
2022-07-11,09:06:31,C1 - WordPad
2022-07-11,09:06:32,C1 - WordPad
2022-07-11,09:06:33,C1 - WordPad
2022-07-11,09:06:34,C1 - WordPad
2022-07-11,09:06:35,C1 - WordPad
2022-07-11,09:06:36,C1 - WordPad
2022-07-11,09:06:37,C1 - WordPad
2022-07-11,09:06:38,C1 - WordPad
2022-07-11,09:06:39,C1 - WordPad
2022-07-11,09:06:40,C1 - WordPad
2022-07-11,09:06:41,C1 - WordPad
2022-07-11,09:06:42,C1 - WordPad
2022-07-11,09:06:43,C1 - WordPad
2022-07-11,09:06:44,C1 - WordPad
2022-07-11,09:06:45,C1 - WordPad
2022-07-11,09:06:46,C1 - WordPad
2022-07-11,09:06:47,C1 - WordPad
2022-07-11,09:06:48,C1 - WordPad
2022-07-11,09:06:49,C1 - WordPad
2022-07-11,09:06:50,C1 - WordPad
2022-07-11,09:06:51,C1 - WordPad
2022-07-11,09:06:52,C1 - WordPad
2022-07-11,09:06:53,C1 - WordPad
2022-07-11,09:06:54,C1 - WordPad
2022-07-11,09:06:55,C1 - WordPad
2022-07-11,09:06:56,C1 - WordPad
2022-07-11,09:06:57,C1 - WordPad
2022-07-11,09:06:58,C1 - WordPad
2022-07-11,09:06:59,C1 - WordPad
2022-07-11,09:07:00,C1 - WordPad
2022-07-11,09:07:01,C1 - WordPad
2022-07-11,09:07:02,C1 - WordPad
2022-07-11,09:07:03,C1 - WordPad
2022-07-11,09:07:04,C1 - WordPad
2022-07-11,09:07:05,C1 - WordPad
2022-07-11,09:07:06,C1 - WordPad
2022-07-11,09:07:07,C1 - WordPad
2022-07-11,09:07:08,C1 - WordPad
2022-07-11,09:07:09,C1 - WordPad
2022-07-11,09:07:10,C1 - WordPad
2022-07-11,09:07:11,C1 - WordPad
2022-07-11,09:07:12,C1 - WordPad
2022-07-11,09:07:13,C1 - WordPad
2022-07-11,09:07:14,C1 - WordPad
2022-07-11,09:07:15,C1 - WordPad
2022-07-11,09:07:16,C1 - WordPad
2022-07-11,09:07:17,C1 - WordPad
2022-07-11,09:07:18,C1 - WordPad
2022-07-11,09:07:19,C1 - WordPad
2022-07-11,09:07:20,C1 - WordPad
2022-07-11,09:07:21,C1 - WordPad
2022-07-11,09:07:22,C1 - WordPad
2022-07-11,09:07:23,C1 - WordPad
2022-07-11,09:07:24,C1 - WordPad
2022-07-11,09:07:25,C1 - WordPad
2022-07-11,09:07:26,C1 - WordPad
2022-07-11,09:07:27,C1 - WordPad
2022-07-11,09:07:28,C1 - WordPad
2022-07-11,09:07:29,C1 - WordPad
2022-07-11,09:07:30,C1 - WordPad
2022-07-11,09:07:31,C1 - WordPad
2022-07-11,09:07:32,C1 - WordPad
2022-07-11,09:07:33,C1 - WordPad
2022-07-11,09:07:34,C1 - WordPad
2022-07-11,09:07:35,C1 - WordPad
2022-07-11,09:07:36,C1 - WordPad
2022-07-11,09:07:37,C1 - WordPad
2022-07-11,09:07:38,C1 - WordPad
2022-07-11,09:07:39,C1 - WordPad
2022-07-11,09:07:41,C1 - WordPad
2022-07-11,09:07:42,C1 - WordPad
2022-07-11,09:07:43,C1 - WordPad
2022-07-11,09:07:44,C1 - WordPad
2022-07-11,09:07:45,C1 - WordPad
2022-07-11,09:07:46,C1 - WordPad
2022-07-11,09:07:47,C1 - WordPad
2022-07-11,09:07:48,C1 - WordPad
2022-07-11,09:07:49,C1 - WordPad
2022-07-11,09:07:50,C1 - WordPad
2022-07-11,09:07:51,C1 - WordPad
2022-07-11,09:07:52,C1 - WordPad
2022-07-11,09:07:53,C1 - WordPad
2022-07-11,09:07:54,C1 - WordPad
2022-07-11,09:07:55,C1 - WordPad
2022-07-11,09:07:56,C1 - WordPad
2022-07-11,09:07:57,C1 - WordPad
2022-07-11,09:07:58,C1 - WordPad
2022-07-11,09:07:59,C1 - WordPad
2022-07-11,09:08:00,C1 - WordPad
2022-07-11,09:08:01,C1 - WordPad
2022-07-11,09:08:02,C1 - WordPad
2022-07-11,09:08:03,C1 - WordPad
2022-07-11,09:08:04,C1 - WordPad
2022-07-11,09:08:05,C1 - WordPad
2022-07-11,09:08:06,C1 - WordPad
2022-07-11,09:08:07,C1 - WordPad
2022-07-11,09:08:08,C1 - WordPad
2022-07-11,09:08:09,C1 - WordPad
2022-07-11,09:08:10,C1 - WordPad
2022-07-11,09:08:11,C1 - WordPad
2022-07-11,09:08:12,C1 - WordPad
2022-07-11,09:08:13,C1 - WordPad
2022-07-11,09:08:14,C1 - WordPad
2022-07-11,09:08:15,C1 - WordPad
2022-07-11,09:08:16,C1 - WordPad
2022-07-11,09:08:17,C1 - WordPad
2022-07-11,09:08:18,C1 - WordPad
2022-07-11,09:08:19,C1 - WordPad
2022-07-11,09:08:20,C1 - WordPad
2022-07-11,09:08:21,C1 - WordPad
2022-07-11,09:08:22,C1 - WordPad
2022-07-11,09:08:23,C1 - WordPad
2022-07-11,09:08:24,C1 - WordPad
2022-07-11,09:08:25,C1 - WordPad
2022-07-11,09:08:26,C1 - WordPad
2022-07-11,09:08:27,C1 - WordPad
2022-07-11,09:08:28,C1 - WordPad
2022-07-11,09:08:29,C1 - WordPad
2022-07-11,09:08:30,C1 - WordPad
2022-07-11,09:08:31,C1 - WordPad
2022-07-11,09:08:32,C1 - WordPad
2022-07-11,09:08:33,C1 - WordPad
2022-07-11,09:08:34,C1 - WordPad
2022-07-11,09:08:35,C1 - WordPad
2022-07-11,09:08:36,C1 - WordPad
2022-07-11,09:08:37,C1 - WordPad
2022-07-11,09:08:38,C1 - WordPad
2022-07-11,09:08:39,C1 - WordPad
2022-07-11,09:08:40,C1 - WordPad
2022-07-11,09:08:41,C1 - WordPad
2022-07-11,09:08:42,C1 - WordPad
2022-07-11,09:08:43,C1 - WordPad
2022-07-11,09:08:44,C1 - WordPad
2022-07-11,09:08:45,C1 - WordPad
2022-07-11,09:08:46,C1 - WordPad
2022-07-11,09:08:47,C1 - WordPad
2022-07-11,09:08:48,C1 - WordPad
2022-07-11,09:08:49,C1 - WordPad
2022-07-11,09:08:50,C1 - WordPad
2022-07-11,09:08:51,C1 - WordPad
2022-07-11,09:08:52,C1 - WordPad
2022-07-11,09:08:53,C1 - WordPad
2022-07-11,09:08:54,C1 - WordPad
2022-07-11,09:08:55,C1 - WordPad
2022-07-11,09:08:56,C1 - WordPad
2022-07-11,09:08:57,C1 - WordPad
2022-07-11,09:08:58,C1 - WordPad
2022-07-11,09:08:59,C1 - WordPad
2022-07-11,09:09:00,C1 - WordPad
2022-07-11,09:09:01,C1 - WordPad
2022-07-11,09:09:02,C1 - WordPad
2022-07-11,09:09:03,C1 - WordPad
2022-07-11,09:09:04,C1 - WordPad
2022-07-11,09:09:05,C1 - WordPad
2022-07-11,09:09:06,C1 - WordPad
2022-07-11,09:09:07,C1 - WordPad
2022-07-11,09:09:08,C1 - WordPad
2022-07-11,09:09:09,C1 - WordPad
2022-07-11,09:09:10,C1 - WordPad
2022-07-11,09:09:11,C1 - WordPad
2022-07-11,09:09:12,C1 - WordPad
2022-07-11,09:09:13,C1 - WordPad
2022-07-11,09:09:14,C1 - WordPad
2022-07-11,09:09:15,C1 - WordPad
2022-07-11,09:09:16,C1 - WordPad
2022-07-11,09:09:17,C1 - WordPad
2022-07-11,09:09:18,C1 - WordPad
2022-07-11,09:09:19,C1 - WordPad
2022-07-11,09:09:20,C1 - WordPad
2022-07-11,09:09:21,C1 - WordPad
2022-07-11,09:09:22,C1 - WordPad
2022-07-11,09:09:23,C1 - WordPad
2022-07-11,09:09:24,C1 - WordPad
2022-07-11,09:09:25,C1 - WordPad
2022-07-11,09:09:26,C1 - WordPad
2022-07-11,09:09:27,C1 - WordPad
2022-07-11,09:09:28,C1 - WordPad
2022-07-11,09:09:29,C1 - WordPad
2022-07-11,09:09:30,C1 - WordPad
2022-07-11,09:09:31,C1 - WordPad
2022-07-11,09:09:32,C1 - WordPad
2022-07-11,09:09:33,C1 - WordPad
2022-07-11,09:09:34,C1 - WordPad
2022-07-11,09:09:35,C1 - WordPad
2022-07-11,09:09:36,C1 - WordPad
2022-07-11,09:09:37,C1 - WordPad
2022-07-11,09:09:38,C1 - WordPad
2022-07-11,09:09:39,C1 - WordPad
